epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.503,1.22621,1.85495,1.19595,1,0.54433,0.94784,0.55826,1.26039,2.48005,1.08022,0.000655556,0.000655556,0.000655556
2,25.5849,1.21392,1.36981,1.12912,1,0.98312,0.98548,0.67518,1.08094,1.25603,0.95793,0.00129604,0.00129604,0.00129604
3,37.5133,1.18056,1.20043,1.12396,0.97494,0.98083,0.98431,0.66454,1.10371,1.05274,0.94311,0.00191013,0.00191013,0.00191013
4,49.3537,1.1884,1.07198,1.10984,0.93915,0.94118,0.97659,0.58013,1.18464,1.41915,0.98492,0.0018812,0.0018812,0.0018812
5,61.0105,1.13497,0.93817,1.09474,0.99576,0.91597,0.97144,0.64884,1.22418,1.17733,1.05263,0.0018416,0.0018416,0.0018416
6,72.668,1.11904,0.88945,1.07338,0.99727,0.98319,0.98818,0.7066,1.01473,0.62203,0.90847,0.001802,0.001802,0.001802
7,84.2729,1.13476,0.83038,1.08329,0.9871,0.97479,0.98523,0.67155,1.11926,0.74493,0.93178,0.0017624,0.0017624,0.0017624
8,96.0997,1.09461,0.78184,1.08099,0.99865,0.98319,0.98652,0.68451,1.05589,0.57011,0.90695,0.0017228,0.0017228,0.0017228
9,107.83,1.08342,0.7321,1.07961,0.99595,0.98319,0.99475,0.71383,1.01235,0.55708,0.8951,0.0016832,0.0016832,0.0016832
10,119.523,1.07877,0.70732,1.07044,0.97376,0.95798,0.97752,0.70989,0.99199,0.55106,0.88333,0.0016436,0.0016436,0.0016436
11,131.088,1.07842,0.70681,1.07422,1,0.98262,0.99492,0.6559,1.13875,0.52446,0.96314,0.001604,0.001604,0.001604
12,142.722,1.08543,0.64464,1.05627,0.99158,0.98969,0.99492,0.7034,1.05083,0.47251,0.88806,0.0015644,0.0015644,0.0015644
