epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4395,1.035,1.85013,1.56686,0.75939,0.7732,0.76221,0.39655,1.47708,2.51086,2.21572,0.000653061,0.000653061,0.000653061
2,23.3874,0.99682,1.30564,1.47614,0.75896,0.81153,0.87571,0.42164,1.68457,2.32214,2.70353,0.0012936,0.0012936,0.0012936
3,33.2012,1.04809,1.23313,1.53709,0.91739,0.91595,0.95948,0.63092,1.281,1.34793,2.06178,0.00190773,0.00190773,0.00190773
4,42.8522,1.03935,1.17968,1.53168,0.72336,0.7732,0.7271,0.35245,2.21181,1.69147,3.06976,0.0018812,0.0018812,0.0018812
5,52.4253,0.96785,1.06561,1.48545,0.47809,0.3211,0.33969,0.1671,1.76351,2.67426,2.39858,0.0018416,0.0018416,0.0018416
6,62.0141,0.99693,1.03272,1.49152,0.92968,0.87629,0.96088,0.44811,1.64628,1.36644,2.29615,0.001802,0.001802,0.001802
7,71.6332,0.97291,0.96353,1.46898,0.9469,0.98969,0.97969,0.67522,1.14162,0.84138,1.82324,0.0017624,0.0017624,0.0017624
8,81.2165,0.93448,0.88954,1.42903,0.56896,0.65979,0.65776,0.38524,1.7055,1.78041,2.25774,0.0017228,0.0017228,0.0017228
9,91.0306,0.90175,0.82142,1.39459,0.9669,0.97938,0.9882,0.73065,0.99121,0.67269,1.55476,0.0016832,0.0016832,0.0016832
10,100.761,0.89134,0.79979,1.39415,0.97932,0.97632,0.99153,0.72498,1.04735,0.67066,1.74475,0.0016436,0.0016436,0.0016436
11,110.507,0.90636,0.79604,1.4299,0.98099,0.98969,0.98545,0.73386,0.96774,0.62929,1.55166,0.001604,0.001604,0.001604
12,120.214,0.86061,0.71458,1.36295,0.98963,0.98382,0.98511,0.71566,1.01424,0.65097,1.55648,0.0015644,0.0015644,0.0015644
13,129.961,0.85276,0.71732,1.38533,0.98282,0.95876,0.98854,0.70482,1.04972,0.70039,1.65959,0.0015248,0.0015248,0.0015248
14,139.535,0.85575,0.71258,1.36211,0.94522,0.96907,0.98538,0.75746,0.97643,0.63988,1.51709,0.0014852,0.0014852,0.0014852
15,149.104,0.83278,0.6726,1.34902,0.96811,0.94845,0.98556,0.70768,1.07081,0.73615,1.59267,0.0014456,0.0014456,0.0014456
